,123541
L3O Interactive,289
Playrix Entertainment,288
Kukouri,288
Phoenix Game Studio,287
Ageod,287
Artematica Entertainment,286
Dust Devil Studios Inc.,286
Holotech Studios,286
Virtual Playground,286
Vae Victis Games,285
AwesomeBlade,285
Zoink Games,284
Pixelante Game Studios,284
Linked Dimensions,284
Games Distillery s.r.o.,283
Mando productions,283
JForce Games,282
Night Node,282
Sinclair Strange,282
Q Entertainment Inc.,281
BeamNG,279
Kuno Interactive,279
Lion's Shade,278
Armature Studio,278
Nikita,278
Black Lion Studios,277
Flump Studios,275
Fishcow Studio,275
Acid Wizard Studio,275
Iocaine Studios,274
SkyRiver Studios,273
Filament Games,273
Gamebell Studio,272
Muzzy Lane Software,272
Nemoria Entertainment,271
Hippomancer,270
Gamebryo,270
8888888 LABS,268
Psychic Software,267
Three Donkeys LLC,266
Apus Software,266
Epixx.org,265
Steve Jarman,263
Defrost Games,261
David Amador,261
Vivid Games,261
Dumb and Fat Games,261
Other Ocean Interactive,260
XeniosVision,260
Dark Artz Entertainment,260
Spotkin,258
app2fun,257
Tricktale,257
Artplant,256
Mark Healey,256
Rob Howland,255
Farsky Interactive,255
Big Head Games,254
Elecorn,253
The Collective,253
Wild Factor,251
WizarBox Production,251
Brainbox Games,251
Artnumeris,249
Arctic Anteater,249
Crystal Empire Games,246
Humongous Entertainment,246
Defiant Development,245
Jarhead Games,242
Cyan,242
TawStudio Entertainment,242
Animation Arts,242
New Star Games,241
White Paper Games,241
Panzer Gaming Studios,240
Sandswept Studios,239
"Enlight Software Limited, PerspectX",239
Bacon Wrapped Games,238
DTP,235
Stage Clear Studios,235
GhostShark,235
Organic Humans,233
CCG,233
KING Art Games,231
Curious Panda Games,231
FUN Creators,229
bitComposer Games,228
StarQuail Games,228
ALTAR Interactive,228
Diffusional Arts,227
PLAY,227
Stolen Couch Games,227
Mascot Entertainment,226
Asobo Studio,226
Golgoth Studio,226
Degica,222
Doppler Interactive,222
Avidly Wild Games,221
LeGrudge & Rugged,220
XGen Studios,220
Altar Interactive,219
Aardman Animations,219
Grip Games,218
Icetesy SPRL,218
Jet Set Games,216
Dagger Games,216
Santa Ragione,212
Micro Factory Games,212
WhiteMoon Dreams,209
Whole Hog Games,208
Deadline Games,206
Hammer Labs,206
Codeglue,206
Sparpweed,206
Elder Games,204
Parseh Game Studio,203
"Bat Country Games, LLC",203
Artech Studios,201
Certain Affinity™,201
Jason Oda,201
Spicy Horse,201
Magnetic Realms,201
Upper Byte Studio,199
][ Games Inc,199
Memetic Games,198
Stormregion,198
Hexage,197
Behaviour,196
Kylotonn Entertainment,196
Sanzaru Games,196
Faravid Interactive,195
10tons Ltd,195
Red Meat Games,195
Game-Labs,195
souvenir circ.,194
Hydravision Entertainment,194
2DEngine,194
Genee Network,194
Handsome Games,194
Climax Studios,192
Sumom Games,191
SeeThrough Studios,191
Burian Media Enterprises,191
bitSmith Games,190
Witan Game Production House,190
Darkworks,190
Stirfire Studios,189
The Lordz Games Studio,188
Auroch Digital,188
Simogo,188
Deck13,187
VipaGames,186
PolyPusher Studios,186
Lost Decade Games,186
Endlessfluff Games,185
GolemLabs,183
Silver Wish Games,183
Internal Games,183
VIS Interactive,182
Dark Castle Software,182
Psydra Games LLC,181
Momentum Digital Media Technologies,181
DVS,180
Plastic Reality Technologies,180
Smolders,180
Bedtime Digital Games,180
Bleank,179
"BadFly Interactive, a.s.",179
bignic - Dolphin Barn,178
Anthony Case,178
Tlön Studios,178
"MindBlocks Studio, LLC",177
Orthogonal Games,177
Proxy Studios,177
Haruneko Entertainment,176
Gabriel Entertainment,174
Tony Porter,174
Scott Thunelius,174
Proper Games,173
Ivory Tower in collaboration with Ubisoft Reflections,173
Phenomenon Games,173
Frima Studio,173
Neutron Games,171
Solest Games,171
Phobic Studios,170
Silk Games,170
Paul Marrable,169
Peter Brinson and Kurosh ValaNejad,169
Dinosaur Polo Club,168
ToonTRAXX Studios,168
Dan Walters,167
Frima,166
30.06 Studios Ltd,165
Volition Inc,165
N A GA Entertainment,164
Switchblade Monkeys Entertainment,162
Heydeck Games,162
Gone North Games,162
4sdk,160
Colossal Games,159
Deadline Games,159
5 Ants,159
BigAnt Studios,159
Night Light Interactive,158
ZoopTEK,158
RVL Games,158
Hazardous Software Inc.,157
Playstos Entertainment,157
Waz,157
Noviy Disk,156
Lesta Studios Inc,156
Babylon,155
Owl Cave,155
Spiky Caterpillar,155
Merscom,155
Flashback Games,154
Phosfiend Systems,154
OPQAM,153
Pavel Bulatov,153
Bongfish GmbH,153
Anthony Septim,152
Andre Chagas Silva,152
Ionising Software,152
initials,152
Sakura River Interactive,150
Finn Morgan,149
Alawar Entertainment,149
Boneloaf,148
4gency,148
Arkavi Studios,147
Jellyvision,147
Jujubee S.A.,147
Minicore Studios,147
Iron Tower Studio,146
Choice of Games,146
Mighty Rocket Studio,146
Icarus Games,145
Her Interactive,145
TrueThought,144
Unfinished Pixel,144
XIAOYAO,143
BetaSparkUK,143
Paul Schneider,143
Four Circle Interactive,142
Iteration 11,141
Powerhoof,141
Erik Asmussen,141
Toco Games,141
Strike Games,140
Evilized Productions,140
Alan Zucconi,140
FAKT Software Gmbh,140
Studio Fizbin,139
GameCask,139
Yullaby,139
ovos,139
Technetium Games,139
Parallax Arts Studio,139
Biart,138
8monkey Labs,138
Planet Moon Studios,137
Ironsun Studios,136
Xiotex Studios,135
Nevercenter Ltd. Co.,135
"International Games System, Co., LTD.",134
Supermassive Games,134
SFB Games,133
Mixamo,133
Peoleo Entertainment,133
Trese Brothers,132
Ren? Petrulien?,131
Adventure Productions,131
10th Art Studio,131
Antanas Marcelionis,131
Excalibur,130
Excalibur Publishing,130
Joshyy,129
System Prisma,129
Last Day of Work,129
DarkElite,128
Digital Happiness,128
Roll7,127
Flow Combine,127
Breakfall,127
Pwnee Studios,126
SITER SKAIN,126
Mindstorm Studios,124
SkyFallen Entertainment,124
Jigxor,124
SuckerFree Games,123
Microïds,123
Lucas Pope and Keiko Ishizaka,123
Dreamworlds,123
Key17 Games,122
Synetic,122
Linden Lab,122
BlackMoon Design,121
Big Finish Games,121
Cliffhanger Productions,121
Appmania,121
Niels Bauer Games,120
Coatsink,118
Inventive Dingo,118
Alawar,117
Red Wasp Design Ltd,117
HB Studios,115
Ubisoft Blue Byte Studio,115
United Soft Media,114
Eden Games,114
Eko Software,114
SPLine,113
Avatar Creations,113
Rubicon Development,112
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",112
Madlab Software,112
Lightmare Studio,111
Skatanic Studios,111
iPi Soft,110
Himalaya Studios,110
QUICKTEQUILA,109
Krealit,108
Sandlot Games,107
TikGames,107
"Retro64, Inc.",107
Alfred Lam,107
PlayFirst,107
Terri Vellmann,106
Aspyr,106
Dirigo Games,106
Teknopants,104
candyrocketstudio,104
Orion,103
Spicy Tails,103
Destrax,103
Saturn-plus,103
Gabor,102
Dugan,102
Electric Cafe,102
BlackMark Studio,102
Urban Games,101
Strawdog Studios Ltd,101
Wolverine Studios,100
Remar Games,100
sppa4apps,100
grapefrukt games,99
REMIMORY,98
Creat Studio,97
Holy Warp,97
Popcannibal,97
Black Wing Foundation,97
Giant Box Games,97
Keybol,97
GTGD,96
Spiders Studio,95
Irresponsible Games,95
DQ Team,95
Witan Entertainment,95
Stephane Valverde,95
Leslie Valverde,95
Hyper Hippo Games,94
Hapa Games,94
TickTock Games,94
Full Control,93
Sarah Northway,93
InnoGlow,93
"Play, Silden",93
GlyphX Games,93
studio4,93
Northway Games,93
Dr. Kimberly Voll,92
Lindsay Jorgensen,92
Loren Bednar,92
"Nicalis, Inc.",92
Computerhouse,92
Ambient Design Ltd.,92
"Escape Hatch Entertainment, LLC",92
New Reality Games,91
Copenhagen Game Collective,91
Brightside Games,91
Gogii Games,90
Touz,90
Kokakiki,90
Eurocom,90
Tortuga Team,88
Tap It Games,88
Sunlight Games,88
Studio4,87
Infinite Monkeys Entertainment Ltd.,87
"Fantasy Flight Publishing, Inc.",86
Vigilant Addiction Studios,85
Glacicle,85
Hypercane Studios,85
Boolat Games,85
The Great War 1918 Development Team,85
Overhaul Games,85
Electronic Paradise,85
Project Whitecard Studios Inc.,84
PIXOWL INC.,84
Ticonblu,84
SpikySnail,84
Rogue Earth LLC,84
Hearthfire Studios,84
Vector Unit,84
Robotality,83
Brain Candy,83
Laminar Research,83
Crunching Koalas,83
Anuman Interactive,82
TML Studios,82
Origin8,81
Volition Inc.,81
Lemondo Entertainment,81
Spectral Games,81
Elliptic Games,81
Limasse Five,79
4Flash Interactive,79
ONE MORE LEVEL,79
INTERMARUM,79
Morgopolis Studios,78
ShaunJS,78
MR-Software GbR,77
Eversim,77
Rsupport Inc.,76
GRIP Digital s.r.o.,76
Slitherine Ltd.,75
Magic Wand,75
ioneo,75
Trinoteam,74
SomaSim,73
GalaxyTrail,73
Aartform Games,73
Incinerator Studios,72
Winged Pixel Inc.,72
Apparition Games,72
Nine Dots Studio,72
IPACS,71
Atomix Productions,71
YOTSUBANE,70
Enitvare,70
Magiko Gaming,70
Adventure Planning Service,70
Spiral House,70
Witch Beam,70
Virtuos,69
Luka Nieto,69
Atapki,69
Carlos Coronado,69
Codemasters Digital,69
Brilliant Skies Ltd.,69
Dani Navarro,69
Koalabs Studio,68
Wanako Games,68
Black Cactus,68
Evil Twin Artworks,68
Refactored Games OÜ,68
Legend Studio,67
shaun Williams,67
Supersonic Software,67
Doragon Entertainment,67
Juicy Beast Studio,66
ImagineEngline,65
Last Limb LLC,64
BlueLine Games,64
Unknown Worlds,64
Total Eclipse,63
Zemnott,63
Red Rocket Games,63
Quantic Dream,63
Creat Studios Inc,63
Arberth Studios,63
Clickteam,62
Bane Games,61
Kitfox Games,61
Section Studios,60
Celsius Game Studios,60
Will O'Neill,60
Somi,59
QUByte Interactive,58
Graviteam,58
Luc Bernard,58
SilverSphereStudios,58
Master Technologies,58
Dancing Dots,58
Kritzelkratz 3000,57
Fireproof Games,57
JoWooD,57
Hato Moa,56
I Fight Bears,56
Treexy,56
Adventurepro Games LLC,56
Kinelco & Lone Elk Creative,56
Wicked Loot,55
Komar Games,55
Nick Donnelly,55
iWin,55
Two Desperados,55
"Big Splash Games, LLC",55
Gravvit Ltd,54
Creoteam,54
Ubisoft Bulgaria,54
d3t,54
Forbes  Consult Ltd,54
Siege Games,54
Toge Productions,54
Hip Soft,53
Final Boss Entertainment,53
3000AD,53
Brain Slap Studio,53
KatGames,53
Myrtilus Entertainment,53
ComiPo! LLP,53
blurredVision,53
Liminal Games,52
Numantian Games,52
Byterockers' Games GmbH & Co. KG,52
gnifrebel Games UG,52
Laughing Jackal LTD,51
Fun Labs,51
IDHAS Studios,50
Yuisy,50
Monolith Productions,50
Vivid Games S.A.,50
Artem Kotov,50
Commotion Games Pty Ltd,50
Gentleman Squid Studio,49
Nerdook Productions,49
Zeptolab UK Limited,49
Aliasworlds Entertainment,49
BrainDistrict,48
Damaged,48
Gogii,48
LGK Games,48
Indomitus Games,48
Pyrodactyl,48
Liquid Flower,47
Desert Owl Games LLC,47
Casual Brothers,47
Peter Moorhead,47
Codebrush Games,46
HyperKat Games,46
Digital Fusion,45
Bombdog Studios,45
Total Eclipse P.C.,45
Sarbakan,45
Niffler Ltd.,45
Flox Studios Ltd.,45
Visual Entertainment And Technologies,45
Sproing,44
Olde Sk�ül,44
The Game Kitchen,44
Iron Bit,44
Sculptured Software,44
Tavern Games,44
Slam Dunk Studios,43
Thinking Studios,43
Big Fish Games,43
Screwy Lightbulb,42
NAMCO BANDAI Games,42
Access Software,42
Master Creating,41
YorkshireRifles,41
TML-Studios,41
March Entertainment,41
bumblebee.,41
Oasis Games,40
Zojoi,40
Cranberry Production,40
Bloober Team SA,40
Samurai Punk,40
Eipix,40
"SmiteWorks USA, LLC",39
"Dream Forge Entertainment, LLC",39
Killspace Entertainment,39
Absolutist Ltd.,39
Schulenburg Software,39
Alan Hazelden,38
Interabang Entertainment,38
48h Studio,38
Paleo Entertainment,38
Harry Lee,38
Nerd Monkeys®,38
Dietrich Squinkifer,37
FrameLineNetwork Kft.,37
MiniBoss,37
Graveck,37
Big Fish Studios,37
ALLPlayer Group Ltd.,36
Retro Army Limited,36
Celestial Games,36
Meteoric Games,36
Loren Lemcke,36
Ian Snyder,35
Subvert Games,35
Deadly Red Cube,35
VIS - Visual Imagination Software,35
Screaming Bee,35
Rampant Games,35
Factus Games,35
Bitbox Ltd.,35
Dreamatrix,34
Polynetix Studio,33
Interbellum team,33
Virtual Prophecy Entertainment,33
BANDAI NAMCO Studio Inc.,33
Super Duper Garrett Cooper,33
ShortRound Games,33
Pilgway,33
Songquito UG,33
Scorpius Games,32
Vexel Games,32
PD Design Studio,32
Independent Programmist Group,32
Awem Studio,31
Leadwerks Software,31
Sabi Games,31
Voxler Games,31
Nowhere Studios,31
SMG Studio,31
tequibo,31
Mario von Rickenbach,30
ViWo Games,30
Étienne Périn,30
Big Ant Studios,30
Lantana Games,30
Playables,30
Aartform,30
Ice Water Games,29
Funkitron,29
The Software Farm,29
Firebase Industries Ltd.,29
Sierra Entertainment,29
Biart Company LLC,29
Psychotic Psoftware,29
UIG International GmbH,29
Mirillis,29
JumpCore Productions,28
Aventurine SA,28
Emagica,27
Colorful Media,27
The Alpha Company,27
Playful Corporation,27
Fixpoint Productions Ltd.,27
"Castle Pixel, LLC.",27
Concave Studio,27
Mimimi Productions,26
"Her Interactive, Inc.",26
A Jolly Corpse,26
Infamous Quests,26
Kardfy Studios,25
Studio V5,25
Astral Byte,25
Vertigo Games,25
Puuba,25
Social Loner Studios,25
VooFoo Studios,25
TimeSymmetry,25
The Indie Forge,25
Conrad Nelson,25
Amazing Atom,24
Gogiii,24
Blue Mammoth Games,23
Vogat Interactive,23
Freedom Factory,23
"Dracue, Co. ltd",23
Revistronic,23
Bojan Brbora,22
Magenta Factory,22
Hailstorm Games,22
Nitreal,21
Nano Games,21
stillalive studios,21
World-Loom,21
CrioLand,21
Turnopia,21
Jugilus,20
Dreadlocks Ltd.,20
"Ideum, Inc.",20
Warlock Arts,20
Gunnar Games,20
Pyxel Arts,20
Bill and Eli Productions,20
The Mustard Corporation,20
EXTREME,20
Childish Things,20
??????????,20
Pulse Entertainment,20
rdein,19
comcept Inc.,19
"Moonshark, Inc.",19
Spilt Milk Studios,19
Umix,19
Team NINJA,19
Perpetual FX Creative,19
ZSK Progres s.c.,19
Digital Homicide Studios,18
Sideline Amusements,18
Visual Outbreak,18
Different Tuna,18
Adam Saltsman,18
Gonzo Games,18
Pigasus Games,18
BluBee Games,18
Highcastle Studios,18
FobTi interactive,18
Robin Arnott,18
Pointscape,18
Uppercut Games Pty Ltd,18
Easy Co,17
Zeolite Studios Inc.,17
Moonshot Games,17
Wonderfling,17
Whalebox Studio,17
ACD Systems International Inc.,16
Reality Twist GmbH,16
RealAxis Software,16
Investigate North,16
DMD Enterprise,16
Matt Grimm,15
MURA Interactive,15
Shaun Inman,15
Rusty Moyher,15
Big Pixel Studios,15
WIWD Development,15
Slam,15
Le Cortex,14
Sakevisual,14
Epic Quest  Games,14
MADia Entertainment,14
SleepNinja Games,14
Third Wire Productions,14
The Dept of Silly Stuff,14
InterAction studios,14
Bytes of Learning,14
Pixel Dash Studios,14
88mm,14
"Kalani Games, Inc.",13
RageSquid,13
"Max Gaming Technologies, LLC",13
HRG (Heirs of Rube Goldberg),13
Electric Eggplant,13
Unity Games,13
Tiny Lab Productions,13
Soulid Studio,13
Trickster Face,12
Konsordo,12
"Gunnar Games, Inc.",12
Adam Spragg,12
The Writer Zone,12
Serious Brothers,12
Pentavera,11
Joju Games,11
ChessBase,11
Bram Ruiter,11
Daniel Oliveira Carneiro,11
G5 Entertainment,11
Peter Cleary,11
Ludeme Games,11
Sirlin Games,11
Bretwalda Games,11
Cypress Inheritance LLC,11
Freeze Tag Inc.,11
Linksolutions Ltd.,11
Laser Guided Games,10
TAD Productions AB,10
Mirball Games,10
DotEmu SAS.,10
Primate Labs Inc.,10
Just A Pixel Ltd.,10
On The Level Game Studios,10
Unknown Identity,10
4HEAD Studios,10
Sand Sailor Studio,10
Chromatic Dream,10
MEGAFUZZ,10
Future Games,10
Elefantopia,10
HandMade Game,9
Dlala Studios,9
Isotope 244,9
Krita Foundation,9
North Side,9
FarmerGnome,9
Yatagarasu Dev Team,9
ACQUIRE Corp.,8
Gojira,8
49 Games,8
"Sunstone Games, LLC.",8
Gugila,8
Games Hut,8
Shaman Games,8
Gato Salvaje S.L.,8
sakevisual,8
Little Worlds Interactive,8
Room 8 Studio,8
Shaman Games Studio,7
Wonderful Tree Studio,7
Wax Lyrical Games,7
The Astronauts,7
Pixelatto,7
MagicIndie,7
Game Mechanics,7
Really Slick,7
Independent Arts Software,7
Galhmac Game Studio,7
DragonSix,7
Radon Labs GmbH,7
MAGIX Software GmbH,7
Vector Games,6
VR Designs,6
Hinterland Studio Inc.,6
Codemasters,6
rokapublish GmbH,6
Ole Lange,6
Autumn Moon,6
Gamatic,6
rondomedia GmbH,6
Dan  Walters,6
Ceri Williams,6
"Vermont Software Studios,LLC",5
Stellar Jockeys,5
WayForward Technologies Inc.,5
Jon Kerney,5
Intravenous Software,5
Sport1 GmbH,5
La Moustache Studio,5
Gausswerks,5
Corncrow Games,5
Ian MacLarty,5
Timbre Interactive,5
Duaik Entretenimento,5
electrolyte,5
Inmatrix LTD,5
Microprose,5
Wingware,4
WaveDNA,4
BS1 & BSL Team,4
Twelve Games,4
Ripatti Software,4
Tin Man Games,4
Shark Punch,4
N94Games,4
Up Multimedia,4
ALICE IN DISSONANCE,4
Neutron Games GmbH,4
Traptics,3
Pictopotamus,3
"Candescent Games, Inc",3
Confused Pelican,3
"oeFun, Inc.",3
"Fancy Bytes, Reactor",3
Idigicon,3
Eldon Harris,3
Starfish-SD Inc,3
VisualArts/Key,3
Shawn Beck,2
Tasty Stewdios LLC,2
Force Of Habit,2
Orion Games,2
GammaLateral,2
Crimson Cow,2
Dream Up,2
Transcendent Games,2
Carlo D'Apostoli Projects,2
Rasmus Ljunggren,2
"RSUPPORT Co., LTD.",2
Keys of Nine Entertainment,2
Nate Schmold,2
Extreme Reality,2
Backstab Games,1
Ghost Machine,1
SDP Games,1
The Domaginarium,1
PokPoong Games,1
Autodesk,1
Phigames,1
Green Lava Studios,1
Trickster Arts,1
Razorworks,1
Z4G0 and Ivan Venturi Productions,1
Colin Northway,1
Incandescent Games,1
Ohm Force,1
Gabriel Priske,1
RedBedlam,1
No Goblin,1
CBE Software s.r.o.,1
"TREND, Soft Pro",1
iMaxGen,1
Ennoble Studios,1
Maurice Pape,1
