BJ,2,10004451,1.99911019605174E-005
UG,7,37553726,0.00001864
MA,6,33824769,1.77384803426152E-005
ER,1,5792984,1.726226069328E-005
IN,200,1278562207,1.56425709210721E-005
SN,2,14120320,0.000014164
MW,2,16577147,1.20648022244117E-005
BD,15,157571292,9.51950054455351E-006
CM,2,21655715,9.23543738916032E-006
GN,1,11536615,8.66805384421687E-006
TD,1,13133589,7.61406497492803E-006
GH,2,26346251,7.59121288262228E-006
MZ,2,26434372,7.56590699412114E-006
ML,1,16477818,6.06876468716914E-006
TZ,3,50636595,5.92456898020098E-006
SD,2,36849918,5.42742048978237E-006
CI,1,21966312,4.55242555054303E-006
KE,2,44826849,4.46161183446108E-006
NG,5,171829303,2.90986456483502E-006
ET,2,94887724,2.10775421275781E-006
CD,1,71316033,1.40220923393201E-006
