Action,133740
Strategy,129858
Indie,122848
,122791
Free to Play,119091
Adventure,110148
RPG,101159
Simulation,86835
Casual,86315
Massively Multiplayer,72717
Early Access,65014
Racing,40354
Sports,36601
Animation & Modeling,8752
Utilities,6818
Video Production,6459
Design & Illustration,5852
Web Publishing,5496
Education,3212
Software Training,2981
Accounting,1243
Audio Production,1033
Photo Editing,301
